1 426 346
2 374 293
3 471 276
4 412 223
5 373 180
6 471 184
7 414 113
8 371 59
9 427 26
10 477 81
11 562 50
12 609 20
13 635 80
14 722 88
15 776 50
16 862 36
17 862 103
18 776 128
19 814 175
20 878 222
21 798 240
22 860 313
23 766 349
24 860 427
25 796 429
26 737 448
27 724 383
28 679 448
29 641 380
30 609 447
31 559 40
32 499 447
33 471 377
34 428 441
35 374 390
36 318 449
37 284 371
38 216 450
39 215 376
40 168 406
41 105 437
42 41 437
43 125 352
44 19 333
45 79 284
46 144 233
47 34 209
48 134 165
49 35 95
50 55 20
51 134 54
52 214 86
53 282 78
54 306 32
